7zip 26.00-1
aichat 0.30.0-3
alacritty 0.16.1-1
alsa-utils 1.2.15.2-2
arduino-cli 1.4.1-1
ark 25.12.3-1
asciinema 3.2.0-1
asciiquarium 1.1-7
base 3-3
base-devel 1-2
bat 0.26.1-2
batsignal 1.8.0-2
benzene 20130630-3
blender 17:5.1.0-2
bluedevil 1:6.6.3-1
blueman 2.4.6-2
bluez-utils 5.86-4
breeze-gtk 6.6.3-1
breeze-plymouth 6.6.3-1
btop 1.4.6-1
calcurse 4.8.2-1
calibre 8.7.0-9
ccache 4.13.1-1
celluloid 0.29-1
chafa 1.18.1-1
chatty 0.8.9-1
chromium 146.0.7680.164-1
clap 1.2.7-1
cmake 4.3.0-2
cool-retro-term 2.0.0beta1-2
countryfetch 0.2.0-1
cpio 2.15-3
d-spy 49.2-1
dconf-editor 49.0-1
dialog 1:1.3_20260107-1
direnv 2.37.1-1
discord 1:0.0.130-1
discover 6.6.3-1
dolphin 25.12.3-1
drkonqi 6.6.3-1
duf 0.9.1-1
dunst 1.13.1-1
easyeffects 8.1.6-1
efibootmgr 18-3
element-desktop 1.12.9-1
endeavour 43.0-5
evince 1:48.1-1
evtest 1.36-1
extension-manager 0.6.5-1
eza 0.23.4-3
fastfetch 2.60.0-1
fd 10.4.2-1
feh 3.11.3-1
figlet 2.2.5-6
file-roller 44.6-1
flatpak 1:1.16.3-1
flatpak-kcm 6.6.3-1
foot 1.26.1-1
foot-terminfo 1.26.1-1
fprintd 1.94.5-1
fzf 0.70.0-1
gamescope 3.16.22-1
gammastep 2.0.11-2
geoclue 2.8.0-1
ghex 48.3-1
gimp 3.2.0-1
git 2.53.0-1
git-delta 0.19.1-1
github-cli 2.88.1-1
gnome-backgrounds 49.0-1
gnome-boxes 49.1-2
gnome-browser-connector 42.1-8
gnome-builder 49.1-3
gnome-calls 49.1.1-1
gnome-characters 49.1-1
gnome-chess 49.2-1
gnome-control-center 49.6-1
gnome-disk-utility 46.1-2
gnome-mahjongg 49.1.1-1
gnome-menus 3.38.1-1
gnome-mines 49.0.1-1
gnome-nibbles 4.5.1-1
gnome-robots 41.2-3
gnome-shell 1:49.5-1
gnome-sound-recorder 42.0-5
gnome-sudoku 49.4-1
gnome-terminal 3.58.1-1
gnome-themes-extra 1:3.28-1
gnome-tweaks 49.0-2
go 2:1.26.1-1
graphviz 14.1.4-2
